Cliente,cod articolo,mean,std,mean_differenza_giorni
SANYLEG,X21-20099DN1,530.0,0.0,26.0
SANYLEG,X22-4408V2DF,50.0,0.0,26.0
SANYLEG,X22-4408V2DF/SAND,155.0,120.20815280171308,26.0
SANYLEG,X22-47001DN/SAND,140.0,98.99494936611666,26.0
SANYLEG,X22-7801DN,180.0,0.0,33.0
SANYLEG,X23-4491DF1,425.0,0.0,16.0
SANYLEG,X23-4491DF366,1090.0,551.5432893255071,26.0
SANYLEG,X23-4496V2ZN2,506.6666666666667,387.1261637588794,37.0
SANYLEG,X23-47097DN1,415.0,0.0,16.0
SANYLEG,X23-47097DN366,1000.0,707.1067811865476,26.0
SANYLEG,X23-6198ZN cr.295 gr,300.0,0.0,26.0
SANYLEG,X24-2213ZN2,100.0,0.0,26.0
SANYLEG,X24-31001DN366,438.0,195.16147160748713,26.0
SANYLEG,X24-4401S+ZF2,188.0,31.11269837220809,9.0
SANYLEG,X24-4401ZF,248.0,0.0,26.0
SCHMITZ-WERKE GmbH + Co. KG,S19-160046DNcol.vari,30.0,0.0,26.0
SCORTA,15613DN1,472.0,0.0,26.0
SCORTA,1725DN,400.0,0.0,30.0
SCORTA,31004DN220379 dm84,1200.0,0.0,26.0
SCORTA,4402DN,55.0,0.0,1.0
SCORTA,4407DN,472.0,0.0,26.0
SCORTA,7036ZN,980.0,0.0,26.0
SCORTA,X23-7890DF minispole,54.0,0.0,26.0
SINERGY GROUP,10996SN,390.0,319.53090617340916,94.0
T & T,X18-2208ZN2,230.0,0.0,26.0
T.A.T SRL,S16-60015V2DN2,170.0,40.620192023179804,26.0
TAT TESSITURA AUTOMATICA TAVERNERIO,2269ZN2,20.0,0.0,26.0
TAT TESSITURA AUTOMATICA TAVERNERIO,2272ZN,20.0,0.0,26.0
TAT TESSITURA AUTOMATICA TAVERNERIO,4406ZN,230.0,0.0,26.0
TAT TESSITURA AUTOMATICA TAVERNERIO,X24-7801ZN2,20.0,0.0,26.0
TATRASVIT,S18-200014DN,7.0,0.0,26.0
TESS. PARISOTTO - TEXSARP,X22-4404ZN,30.0,0.0,26.0
TESSITURA TAIANA VIRGILIO SPA,S17-60040DN,15.0,0.0,26.0
TRERE' INNOVATION,20098DN,27.5,3.5355339059327378,26.0
TRERE' INNOVATION,20098DN-VARI COL,72.5,3.5355339059327378,15.0
TRERE' INNOVATION,X20-20015DN,55.0,0.0,26.0
UTEXBEL,S19-60052DN,352.5,229.80970388562795,26.0
UTEXBEL,S21-60083V3DN1,1100.0,0.0,26.0
UTEXBEL,S600A03DN,550.0,0.0,26.0
UTEXBEL,S600A04DN,50.0,0.0,26.0
W.ZIMMERMANN,4465SN1,843.5,448.56400509477646,71.0
W.ZIMMERMANN,X18-4406V2SN,339.0,267.2433348093082,56.0
WARMX,S19-200021DN,5.0,0.0,26.0
Z TECH,S16-60017V2DN-A2,43.0,0.0,26.0
