codarticolo,descrizione,anima,copertura,spire_reali,velocita calcolata,kg_ora,spandex,ciclo,no_cicli,ore_levata,Divisore,peso elastomero,Peso spola,programma ribobinatura S,programma ribobinatura Z,programma termofissaggio,kw tempo,kw percentuale,fine validita
4461SF,"Cr44/110f24 S tpm 600 st. 3,2 (DC)",Creora 44 H350,110f24 test. S PA 66,580,13000,"4,49","1,65",7 x 2 gg (334),7,48,,550,760,,22,11,,,
4462ZN1,"Cr44/78f68 nero Z tpm 1000 st. 3,2 (DC)",Creora 44 H350,78f68 test. PES,1000,13000,"2,02","1,01",8 x 2 gg + 22 h (556),8,"69,5",,550,470,,41,,,,
4462ZN2,"Cr44/78f68 nero Z tpm 1000 st. 3,2 (DC)",Creora 44 H350,78f68 test. PES Nero,1000,13000,"2,02","1,01",8 x 2 gg + 22 h (556),8,"69,5",,550,470,,41,,,,
4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)",Creora 44 H350,44f34 S+Z  PA 66 colorwise,650,13200,"1,84","1,58",3 x 4 gg + 20 h (348),3,116,,550,655,22,41,,,,
4463SN,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)",Creora 44 H350,44f34 S+Z  PA 66 colorwise,650,13200,"1,84","1,58",3 x 4 gg + 20 h (348),3,116,,550,655,22,,,,,
4463SZN,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)",Creora 44 H350,44f34 S+Z  PA 66 colorwise,650,13200,"1,84","1,58",3 x 4 gg + 20 h (348),3,116,,550,655,,41,,,,
4464S+ZN,"K44/13f10 S+Z tpm 1800 st. 2,8 (CI)",Mobilon 44 K,13f10 parallelo PA 66,1800,20200,"0,54","1,11",2 x 10 gg  (479),2,"239,5",,526,245,9,32,,,,
4464S+ZN mini,"K44/13f10 S+Z tpm 1800 st. 2,8 (CI)",Mobilon 44 K,13f10 parallelo PA 66 minispole,1800,20200,"0,54","1,11",2 x 10 gg  (479),2,"239,5",,526,245,9,32,,,,
4464SN,"K44/13f10 S tpm 1800 st. 2,8 (CI)",Mobilon 44 K,13f10 parallelo PA 66,1800,20200,"0,54","1,11",2 x 10 gg  (479),2,"239,5",,526,245,9,,,,,
4464ZN,"K44/13f10 Z tpm 1800 st. 2,8 (CI)",Mobilon 44 K,13f10 parallelo PA 66,1800,20200,"0,54","1,11",2 x 10 gg  (479),2,"239,5",,526,245,,32,,,,
4465SN1,"Ro44/16f10 S tpm 1250 st. 2,9 (CL)",Roica 44 C805,16f10 test. Z PA 66,1250,17500,"0,69","1,17",2 x 8 gg + 22 h (428),2,214,,500,325,52,,,,,
4466S+ZN,"Ly44/22f7 S+Z tpm 1900 stiro 3,6 (DG)",Lycra 44 162C,22f7 parallelo PA 66,1800,18900,"0,55","0,73",3 x 9 gg + 20 h (707),3,"235,66",,517,345,9,32,,,,
4466SN1,"Ly44/22f7 S tpm 1900 stiro 3,6 (DG)",Lycra 44 162C,22f7 parallelo PA 66,1800,18900,"0,55","0,73",3 x 9 gg + 20 h (707),3,"235,66",,517,345,9,,,,,
4466ZN1,"Ly44/22f7 Z tpm 1900 stiro 3,6 (DG)",Lycra 44 162C,22f7 parallelo PA 66,1800,18900,"0,55","0,73",3 x 9 gg + 20 h (707),3,"235,66",,517,345,,32,,,,
62001DN,"Ro620/44f34 dc tpm 800 st. 5,2 (FC)",Roica 620 HS-C701,44f34 test. S+Z PA 66,800,13000,"2,71","11,89",1 x 3 gg + 16 h (88) /2,1,88,2,1000,430,,38,,,,
62001DN1,"Ro620/44f34 dc tpm 800 st. 5,2 (FC)",Roica 620 HS-C701,44f34 test. S+Z PA 66,800,13000,"2,71","11,89",1 x 3 gg + 16 h (88) /2,1,88,2,1000,430,,95,,,,
62001DN2,"Ro620/50f34 dc tpm 800 st.5,2",Roica 620 HS-C701,50f34 test. S+Z  PA 66nero,800,13000,"2,87",12,1 x 3 gg + 18 h (90) /2,1,90,2,1000,511,,95,,,,
62002DN,"Cr620/78f24 dc tpm 800 st. 4,8",Creora 620 H300,78f24 test. Z,800,11600,"3,45","11,42",1 x 4 gg (96) /2,2,48,,1100,750,,60,,,,
62002DN2,"Cr620/78f18  dc tpm 800 st. 4,8",Creora 620 H300,78f18 test. Z PA 6 nero,800,11600,"3,45","11,42",1 x 4 gg (96) /2,1,48,,1100,750,,60,,,,
636DN,"Ly22/11f7 dc tpm 1940 st.3,45 (DEF)",Lycra 22 16AL,11f7 poy PA 66,1840,21000,"0,26","0,42",2 x 15 gg + 12 h (744),2,372,,320,295,,4,,,,
7003DN,"Ly78/11f7 dc tpm 1900 st. 3,9  (DL)",Lycra 78 162C,11f7 POY PA 66,1900,21000,"0,36","1,25",1 x 17gg + 15 h (423),1,423,,530,325,,7,,,,
7004DN,"Ly78/13f7 dc tpm 1900 st. 3,8 (DI)",Lycra 78 162C,13f7 POY PA 66,1800,21000,"0,45","1,36",1 x 16 gg + 2 h (386),1,386,,530,415,,7,,,,
7005ZF,"Ly78/44F13 Z TPM 900 st. 4,2 (EC)",Lycra 78 162C,44f13 test. S PA 66,855,15300,"1,73","1,87",3 x 3 gg + 22 h (282),3,94,,530,465,,25,6,,,
7005ZF2,"Ly78/44F13 Z TPM 900 st. 4,2 (EC)",Lycra 78 162C,44f13 test. S  PA 66 nero,855,15300,"1,73","1,87",3 x 3 gg + 22 h (282),3,94,,530,465,,25,6,,,
7005ZN,"Ly78/44F13 Z TPM 900 st. 4,2 (EC)",Lycra 78 162C,44f13 test. S PA 66,855,15300,"1,73","1,87",3 x 3 gg + 22 h (282),3,94,,530,465,,25,,,,
7005ZN2+ZN1,"Ly78/44F13 Z TPM 900 st. 4,2 (EC)",Lycra 78 162C,44f13 test. S PA 66,855,15300,"1,73","1,87",3 x 3 gg + 22 h (282),3,94,,530,465,,25,,,,
7008ZN,Cr 78/44f13 Z tpm 900 st. 4 (EA),Creora 78 H350,44f13 test. S PA 66,855,15400,"1,78","1,99",3 x 3 gg + 20 h (275),3,"91,67",,550,480,,25,,,,
7010ZF,"Ly78/22f7 Z tpm 900 st. 4,2 (EC)",Lycra 78 162C,22f7 test. S PA66,855,18000,"1,32","2,23",2 x 4 gg + 22 h (236),2,118,,530,350,,32,10,,,
7027SF1,"El78/78/68x2 SC S 700 tpm st 3,5 (DF(",Elaspan 78,78f68x2 text PA 66,700,700,"3,76","1,6",8 x 1 gg + 23 h (374),8,47,,,611,56,,4,,,
7032S+ZN,"Ro 78/11f7 S+Z tpm 1800 st. 3,7 (DH)",Roica 78 B835,11f7 POY PA 66,1800,20200,"0,55","1,38",1 x 16 gg + 23 h (407),1,407,,550,315,6,48,,,,
7033ZN,"Cr78/22f7 Z tpm 1500 st. 3,2 (DC)",Creora 78 H350,22f7 test. S PA66,1500,18400,"0,88","1,69",2 x 6 gg + 22 h (332),2,166,,550,290,,32,,,,
7034ZN,"Cr 78/22f7 Z tpm 1900 st. 4,0 (EA)",Creora 78 H350,22f7 test. S PA66,1900,20200,"0,71","1,17",2 x 9 gg + 23 h (477),2,"234,67",,550,380,,32,,05:00:00,"0,5",
7035DN1,"Ly 78/13f5 dc tpm 2100 stiro 3,2 (DC)",Lycra 78 162C,13f5 parallelo PA 66,2100,20000,"0,39","1,32",1 x 16 gg + 18 h (402) /2,1,402,2,530,355,,33,,,,
7036ZN,"Ly78/44F34 Z tpm 900 st. 4,2 (EC)",Lycra 78 162C,44f34 test. S PA 66,855,13200,"1,49","1,61",2 x 6 gg +20 h (329),2,"164,5",,530,690,,25,,,,
749DN,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",Lycra 20 188C,8f5 parallelo PA 66,2800,20200,"0,14","0,31",2 x 17 gg + 21 h (431),2,431,,268,185,,43,,,,
749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",Lycra 20 188C,8f5 parallelo PA 66 minispole,2800,20200,"0,14","0,31",2 x 17 gg + 21 h (431),2,431,,268,185,,43,,,,
848DN,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)",Lycra 22 16AL,8f5 parallelo PA 66,2118,20200,"0,19","0,35",2 x 18 gg + 21 h (905),2,453,,320,250,,4,,,,
848DN mini,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)",Lycra 22 16AL,8f5 parallelo PA 66 minispole,2118,20200,"0,19","0,35",2 x 18 gg + 21 h (905),2,453,,320,250,,4,,,,
94001DN,"Cr940/167f36 nero tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f36 PES nero,800,12500,"8,29","27,64",3 x 13 h (39),3,13,,1110,750,,17,,,,
94001DN-QT791,"Cr940/167f36 nero tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f36 PES nero,800,12500,"8,29","27,64",3 x 13 h (39),3,13,,1110,750,,RD,,,,
94001DN2,"Cr940/167f36 nero tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f36 PES nero,800,12500,"8,29","27,64",156,3,13,,1110,750,,RD,,,,
94003DN-2000,"Cr940/167f48 bianco tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f36 PES bianco 2000,800,12500,"8,39","27,64",3 x 13 h (39),3,13,,1110,766,,RD,,,,
94003DN-5000,"Cr940/167f48 nero tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f48 PES nero 5000,800,12500,"8,39","27,64",3 x 13 h (39),3,13,,1110,766,,RD,,,,
94003DN-Q1724,"Cr940/167f48 football grey tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f48 PES football grey,800,12500,"8,39","27,64",3 x 13 h (39),3,13,,1110,766,,RD,,,,
94003DN-Q2717,"Cr940/167f48 volt tint tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f48 PES volt tint,800,12500,"8,39","27,64",3 x 13 h (39),3,13,,1110,766,,RD,,,,
94003DN-Q3784,"Cr940/167f48 elemental pink tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f48 PES element pink,800,12500,"8,39","27,64",3 x 13 h (39),3,13,,1110,766,,RD,,,,
94003DN-Q3785,"Cr940/167f48 magic flamingo tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f48 PES magic flamingo,800,12500,"8,39","27,64",3 x 13 h (39),3,13,,1110,766,,RD,,,,
94003DN-Q5143,"Cr940/167f48 hyper turq tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f48 PES hyper turq,800,12500,"8,39","27,64",3 x 13 h (39),3,13,,1110,766,,RD,,,,
94003DN-Q7175,"Cr940/167f48 pink foam tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f48 PES pink foam,800,12500,"8,39","27,64",3 x 13 h (39),3,13,,1110,766,,RD,,,,
94003DN-Q7299,"Cr940/167f48 citron tint tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f48 PES citron tint,800,12500,"8,39","27,64",3 x 13 h (39),3,13,,1110,766,,RD,,,,
94003DN-Q7300,"Cr940/167f48 alabaster tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f48 PES alabaster,800,12500,"8,39","27,64",3 x 13 h (39),3,13,,1110,766,,RD,,,,
94003DN-QZ2716,"Cr940/167f48 yellow strike tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f48 PES yellow strike,800,12500,"8,39","27,64",3 x 13 h (39),3,13,,1110,766,,RD,,,,
94003DN-QZ890,"Cr940/167f48 chlorine blue tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f48 PES chlorine blue,800,12500,"8,39","27,64",3 x 13 h (39),3,13,,1110,766,,RD,,,,
94003DN-vari colori,"Cr940/167f48 yellow strike tpm 800 dc st.  3,3 (DD)",Creora 940 H300,167f48 PES vari colori,800,12500,"8,39","27,64",3 x 13 h (39),3,13,,1110,766,,RD,,,,
FennyS+ZN,"Ly20/11f5 S+Z tpm 2500 st. 2,6 (CG)",Lycra 20 188C,11f5 miracosmo PA 6,2500,18000,"0,21","0,34",2 x 16 gg (767),2,"383,5",,268,190,36,17,11,,,
FennySN,"Ly20/11f5 Z tpm 2500 st. 2,6 (CG)",Lycra 20 188C,11f5 miracosmo PA 6,2500,18000,"0,21","0,34",2 x 16 gg (767),2,"383,5",,268,190,36,,11,,,
FennyZN,"Ly20/11f5 Z tpm 2500 st. 2,6 (CG)",Lycra 20 188C,11f5 miracosmo PA 6,2500,18000,"0,21","0,34",2 x 16 gg (767),2,"383,5",,268,190,,17,11,,,
M60002DN-902,"Mu600/140 DC 1500 st. 2,7 (CH)",Muriel 600 1/902,Meta Aramide  140 Nm nero,1500,8000,"1,9","7,68",1 x 21 h (21),1,21,,320,70,,49,,,,
M60002DN-A1,"Mu600/140 DC 1500 st. 2,7 (CH)",Muriel 600 1/100,Meta Aramide  140 Nm bianco ottico,1500,8000,"1,9","7,68",1 x 21 h (21),1,21,,320,70,,49,,,,
M60002DN-B4,"Mu600/140 DC 1500 st. 2,7 (CH)",Muriel 600 1/902,Meta Aramide  140 Nm blu royal,1500,8000,"1,9","7,68",1 x 21 h (21),1,21,,320,70,,49,,,,
ManilaS+ZN1,"K22/11f5 S+Z tpm 2500 st. 2,6 (CG)",Mobilon 22 K,11f5 miracosmo PA 6,2500,18700,"0,23","0,39",2 x 22 gg + 21 h (1097),2,"548,5",,440,270,36,17,,,,
ManilaZN1,"K22/11f5 Z tpm 2500 st. 2,6 (CG)",Mobilon 22 K,11f5 miracosmo PA 6,2500,18700,"0,23","0,39",2 x 22 gg + 21 h (1097),2,"548,5",,440,270,,17,,,,
ManilaZN2,"Klc22/11f5 Z tpm 2500 st. 2,6 (CG)",Mobilon 22 KLC,11f5 miracosmo PA 6,2500,18700,"0,23","0,39",2 x 22 gg + 21 h (1097),2,"548,5",,435,270,,17,,,,
S14-60003V2DN 23h,"Mu600/70/1 Nomex DC tpm 1100 st. 4,4 (EE)",Muriel 600 1/902,Nomex 70/1 Nm S+Z,1100,8500,"2,74","6,84",2 x 23 h (47),2,23,,320,180,,49,,,,
S14-60003V2DN 2gg,"Mu600/70/1 Nomex DC tpm 1100 st. 4,4 (EE)",Muriel 600 1/902,Nomex 70/1 Nm S+Z,1100,8500,"2,74","6,84",1 x 1 gg + 22 h (47),1,46,,320,,,49,,,,
S14-60005V2DN,"Muriel 600/90/1 Nomex dc 1200 st. 4,5 (EF)",Muriel 600 1/100,90/1 Nomex,1200,9000,"2,42","6,5",2 x 1 gg  (49),2,24,,320,,,49,,,,
S15-160018DN,"Mu1600/50/1 kevlar DC tpm 800 st. 5,0 (FA)",Muriel 1600 1/100,50/1 kevlar,800,7000,"5,19","15,75",1 x 1 gg + 13 h (37),1,37,,584,450,,49,,,,
S15-60008V2DN2,"Muriel 600/83f36 nero dc 1500 st. 4,5 (EF)",Muriel 600 1/902,83f36 test. S PES,1500,13200,"2,33","7,42",2 x 1 gg + 19 h   (43),1,43,,320,,,49,,,,
S15-60008V3DN2,"Muriel 600/83f36 nero dc 1500 st. 4,7 (EH)",Muriel 600 1/902,83f36 test. S PES,1500,12700,"2,21","6,84",2 x 1 gg + 22 h   (46),1,46,,320,,,49,,,,
S15-60008V3DNcolorat,"Muriel 600/83f36  dc 1500 st. 4,7 (EH)",Muriel 600 1/100,83f36 test. S PES colorata,1500,12700,"2,21","6,84",2 x 1 gg + 22 h   (46),1,46,,320,,,49,,,,
S15-700002DN,"Mu7000/167f36 nero dc tpm 550 st. 5,0 (FA)",Muriel 7000 1/902,167f36 test. S PES nero,550,9000,"22,39","134,14",1 x 8 h (8),1,8,,2000,150,,49,,,,
S16-60015V2DN2,"Mu600/100/1 aramidico DC tpm 1250 st. 4,5 (EF)",Muriel 600 1/902,Nomex 100/1 Nm S,1250,10000,"2,46","7,25",1 x 1 gg + 20 h (44),1,44,2,320,265,,49,,,,
S16-60015V2DNA1,"Mu600/100/1 aramidico DC tpm 1250 st. 4,5 (EF)",Muriel 600 1/100,Nomex 100/1 Nm S bianco ottico,1250,10000,"2,46","7,25",1 x 1 gg + 20 h (44) 22h cambio spole,1,44,2,320,,,49,,,,
S16-60017V2DN-A2,"Mu600/60/1 aramid mista DC tpm 700 st. 4,5 (EF)",Muriel 600 1/100,60/1 Nm Aramidica mista MELANGE,700,8000,"4,5","9,87",1 x 16 h (16),1,16,,320,210,,49,,,,
S16-60017V2DN-B5,"Mu600/60/1 aramid mista DC tpm 700 st. 4,5 (EF)",Muriel 600 1/902,60/1 Nm Aramidica mista BLU NAVY,700,8000,"4,5","9,87",1 x 16 h (16),1,16,,320,210,,49,,,,
S17-100004DN,"Mu1000+62f18/62f18 DC tpm 800 st. 1,8 (BI)",Muriel 1000 1/100+ 62f18 pva,62f18 PVA,800,8000,"5,5","30,17",1 x 12 h (12),1,12,,,55,,57,,,,
S17-60040DN,"Mu600+62f18/62f18 DC tpm 800 st. 1,8 (BI)",Muriel 600 1/100+ 62f18 pva,62f18 PVA,800,8000,"4,4","21,6",1 x 15 h (15),1,15,,,70,,57,,,,
S17-80012DN,"Mu800/1/100+62f18/62f18 DC tpm 800 st. 1,8",Muriel 800 1/100+ 62f18 pva,62f18 PVA,800,7000,"4,8","24,67",1 x 11 h (11),1,11,,,55,,57,,,,
S18-120019DN,"Mu1200/83f36 nero DC tpm 1000 st. 4,8 (EI)",Muriel 1200 1/902,83f36 test. Z PES nero,1000,10100,"3,32","13,95",1 x 1 gg + 19 h  (43),1,43,,300,250,,49,,,,
S18-140002DN,"Mu1400/62f18 solvron DC tpm 700 st. 3,6 (DG)",Muriel 1400 1/100,62f18 PVA,700,8200,"4,49","24,7",1 x 12 h (12),1,12,,290,60,,57,,,,
S18-160040DN,"Mu1600/62f18 solvron dc tpm 700 st. 3,6 (DG)",Muriel 1600 1/100,62f18 PVA,700,8200,"4,1","28,85",1 x 9 h (9),1,9,,584,65,,57,,,,
S18-160044DN100,"Mu 1600+62f18/62f18 dc tpm 800 st. 1,8 (BI)",Muriel 1600/1/100,62f18 PVA,800,8000,"7,9","49,36",1 x 8 h (8),1,8,,,40,,57,,,,
S18-200014DN,"Mu2000/62f18 DC tpm 700 st. 3,6 (DG)",Muriel 2000 1/902,62f18 PVA,700,8200,"5,96","36,11",1 x 22 h (22),1,22,,1780,115,,57,,,,
S18-200017DN,"Muriel 2000+62f18/62f18 dc tpm 800 st. 1,8",Muriel 2000/1/100+62f18,62f18 PVA,800,8000,"9,56","61,67",1 x 0 gg + 3 h  (3),1,3,,,15,,57,,,,
S18-200017DN2,"Mu2000+62f18/62f18 DC tpm 800 st. 1,8 (BI)",Muriel 2000 1/902+62f18,62f18 PVA,800,8000,"9,56","61,67",1 x 0 gg + 3 h (3),1,3,,,15,,57,,,,
S18-60042V2DN,Muriel 600/62f18 dc tpm 700 st. 4 (EA),Muriel 600/1/100,62f18 PVA,700,10000,"3,43","14,4",1 x 22 h (22),1,22,,,140,,57,,,,
S18-60042V4DN,Muriel 600/62f18 dc tpm 700 st. 4 (EA),Muriel 600/1/100 70 shore,62f18 PVA,700,10000,"3,43","14,4",1 x 22 h (22),1,22,,,140,,57,,,,
S18-60043DN,"Mu600/120/1 Nomex DC 1400 st. 4,5 (EF)",Muriel 600 1/902,Nomex 120/1 Nm,1400,10000,"1,88","6,17",1 x 15 h (15),1,15,,320,220,,49,,,,
S18-60046V2DN,"Mu600+62f18/70-1 DC tpm 1100 st. 1,8 (BI)",Muriel 600 1/902/pva,Nomex 70/1 parisblue,1100,7000,"4,92","16,32",1 x 7 h (7),1,7,,320,180,,57,,,,
S18-700005DN,"Mu7000+167f48/167f48 DC tpm 800 st. 2,0 (CA)",Muriel 7000 1/902,167f48 test. PES,800,7300,"4,52","194,4",1 x 5 h (5),1,5,,2000,100,,49,,,,
S180001DN,"Muriel 1800/62f18 dc tpm 700 st. 3,6",Muriel 1800/1/100 70 shore,62f18 PVA,700,9000,"6,07","35,79",1 x 0 gg + 5 h  (5),1,5,,,30,,57,,,,
S19-160046DNcol.vari,"Mu 1600/167f48x2 dc tpm 700 st. 5,0 (FA)",Muriel 1600/1/100,167f48x2 test PES,700,8000,"9,11","19,89",1 x 15 h (15),1,15,,,387,,49,,,,
S19-160046DNcol.vari,"Mu 1600/167f48x2 dc tpm 700 st. 5,0 (FA)",Muriel 1600/1/902,167f48x2 test PES,700,8000,"9,11","19,89",1 x 15 h (15),1,15,,,387,,49,,,,
S19-160053DN,Mu1600/34 DC tpm 700 st. 5 (FA),Muriel 1600 1/902,Modacryl 34/1 Nm,700,7000,"7,93","18,14",1 x 13 h (13),1,13,,1840,280,,49,,,,
S19-200021DN,"Mu 2000+62f18/62f18 dc tpm 800 st. 1,8 (BI)",Muriel 2000 sensor/pva,62f18 PVA,800,8000,"8,66","53,16",12h,1,"7,5",,400,,,57,,,,
S19-60052DN,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)",Muriel 600 1/100,Ker/Vfr/arm 70/1 Nm GREEN,1100,8200,"2,72","6,81",1 x 1 gg + 22 h (47) /2 cambio spole,1,46,2,320,170,,49,,,,
S19-60052DN-B8,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)",Muriel 600 1/902,Ker/Vfr/arm 70/1 Nm blu marino,1100,8200,"2,72","6,81",1 x 1 gg + 22 h (47) /2 cambio spole,1,46,2,320,170,,49,,,,
S19-60052DN-B9,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)",Muriel 600 1/902,Ker/Vfr/arm 70/1 Nm BLU,1100,8200,"2,72","6,81",1 x 1 gg + 22 h (47) /2 cambio spole,1,46,2,320,170,,49,,,,
S19-60052DN2,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)",Muriel 600 1/902,Ker/Vfr/arm 70/1,1100,8200,"2,72","6,81",1 x 1 gg + 22 h (47) /2 cambio spole,1,46,2,320,,,49,,,,
S19-60054DN,"Mu600/132 DC tpm 1500 st. 4,5 (EF)",Muriel 600 1/902,Aramide 132 Nm S,1500,9000,"1,56","5,15",1 x 1 gg + 6 h (30),1,30,,320,220,,49,,,,
S19-60058V2DN,"Muriel 600/70/1/23 dc 1100 st. 4,5 (EF)",Muriel 600 1/100,Aramide70/1 Nm/23 Negastat,1100,8500,"4,21","6,67",1 x 1 gg + 23 h (48),1,47,,320,,,49,,,,
S19-60064V3DN,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",Muriel 600 1/100,78f34 test. S + Z PA 66  grey U427,700,14000,"4,7","17,06",1 X 19 h (19),1,19,,320,190,,49,,,,
S19-60064V3DN-U427,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",Muriel 600 1/100,78f34 test. S PA 66 grey U427,700,14000,"4,7","17,06",1 X 19 h (19),1,19,,320,190,,49,,,,
S19-60064V3DN-U427 C,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",Muriel 600 1/100,78f34 test. S PA 66 grey U427,700,14000,"4,7","17,06",1 X 19 h (19),1,19,,320,190,,49,,,,
S19-60064V3DN-U427 C,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",Muriel 600 1/100,78f34 test. S PA 66 grey U427,700,14000,"4,7","17,06",1 X 19 h (19),1,19,,320,190,,49,,,,
S19-60065DN,"Mu600/78f66 DC tpm 700 st. 4,5 (EF)",Muriel 600 1/100,78f66 recy PCR PES,700,12000,"4,24","15,34",1 x 10 h (10),1,10,,320,180,,49,,,,
S20-60076V2DN,"Mu 600+62f18/70-1  dc tpm 1100 st. 1,8 (BI)",Muriel 600 1/902/pva,Nomex 70/1 parisblue+pva,900,9000,"5,93","24,86",1 x 12 h,1,12,,320,150,,49,,,,
S21-100011DN100 A230,"Mu 1000/62f18 dc tpm 800 st. 2,2 (CC)",Muriel 1000 1/100,62f18 PVA,800,8000,"4,32","24,68",1 x 16 h (16),1,16,,400,75,,57,,,,
S21-500011DN,"Muriel 5000/62f18 dc tpm 1100 st. 2,0 (CA)",Muriel 5000 1/100,62f18 PVA,1100,8000,"14,17",101,1 x 10 h,1,10,,1000,50,,57,,,,
S21-60081DN-B5,"Mu600/70/1 Nomex DC 700 st. 4,5 (EF)",Muriel 600 1/902,Nomex 70/1 Nm Blu Void,700,8500,"4,52","10,52",1 x 15 h (15),1,15,,320,360,,49,,,,
S21-60082DNB,"Muriel 600/70/1 Nomex dc 1100 st. 4,4 (EE)",Muriel 600 1/902,Nomex 70/1 Nm paris blu,1100,8500,"2,75","6,82",1 x 1 gg + 22 h (46),1,46,,320,360,,49,,,,
S21-60083DN,"Mu600/120/1 Nomex DC 1400 st. 4,5 (EF)",Muriel 600 1/100/hypercarb,Nomex 120/1 Nm,1400,10000,"1,89","6,17",1 x 25 h (25),1,25,,320,200,,49,,,,
S21-60083V2DN,"Mu600/120/1 Nomex DC 1250 st. 4,1 (EB)",Muriel 600 1/100/hypercarb,Nomex 120/1 Nm,1250,9000,"2,19","7,27",1 x 21 h (21),1,21,,320,210,,49,,,,
S21-60083V3DN1,"Mu600/120/1 Aramidico dc 1400 st. 4,5 (EF)",Muriel 600 1/100/hypercarb,Nomex 120/1 Nm,1400,10000,"1,89","6,17",2 x 1 gg h (48),2,24,,320,240,,49,,,,
S21-60090DN100,"Mu600/70/1 Nomex DC tpm 1100 st. 4,4 (EE)",Muriel 600 1/100,Nomex 70/1 Nm S,1100,8500,"3,05","7,33",1 x 1 gg + 19 h (43),1,43,,320,375,,49,,,,
S21-60091V3DN   A230,"Muriel 600/70/62f18 dc tpm 900 stiro 2,2 (CC)",Muriel 600/1/902,Nomex 70/1 +pva 62f18,900,8000,"3,79","15,71",1 x 0 gg + 20 h  (20),1,20,,,196,,49,,,,
S22-120027DN2,"Mu 1200/167f36 dc tpm 600 st. 4,5 (EF)",Muriel 1200/1/902,167f36 test PES,600,10000,"8,27","24,55",1 x 24 h (24),1,24,,,480,,49,,,,
S22-120027V2DN2,"Mu 1200/167f36 dc tpm 800 st. 4,5 (EF)",Muriel 1200/1/902,Pes 167f36 test  PES,800,13000,"8,06","23,94",1 x 24 h (24),1,24,,,480,,49,,,,
S22-200037DN,Mu 2000/83f36 dc tpm 800 st. 5 (FA),Muriel 2000 1/902,83f36 test PES,800,12000,"6,5","33,19",1 x 8 h (8),1,8,,1780,80,,49,,,,
s22-700011DN,"Muriel 7000/167f36 dc tpm 550 st. 5,0 (FA)",Muriel 7000 food,167f36 test. S PES alimentare,550,9000,"22,38","134,13",1 x 8 h,1,"7,45",,1000,155,,49,,,,
S300020DN,"Muriel 3000/67f24x2 dc tpm 400 st. 3,0 (DA)",Muriel 3000/1/100,67/24x2 test. PA 66,400,7000,"16,96","97,19",1 x 5 h,1,"4,5",,,90,,49,,,,
S600A03DN,"Muriel 600/50/1 mista cotone dc 700 st. 4,5 (EF)",Muriel 600 1/100,cotone mista 50/1 Nm,700,7000,"4,5","8,93",2x 18 h,2,18,,320,245,,49,,,,
S600A04DN,"Muriel 600/50/1/39 dc 700 st. 4,5 (EF)",Muriel 600 1/100,"cotone mista 50/1, Negasta 39",700,7000,"4,5","8,93",2x 18 h,2,18,,320,245,,49,,,,
S600A07DN,"Muriel 600/70 dc tpm 1000 st. 4,6",Muriel 600/1/902,Aramide 70/1 Nm tors. S,1000,8200,"2,99","7,15",1 x 1 gg + 22 h  (46),1,45,,,370,,49,,,,
S600A14DN,"Muriel 600/45f72 dc tpm 1300 st. 4,5",Muriel 600 1/100,45f72 test. PES,1300,12300,"1,87","8,17",1 x 1 gg + 15 h  (39),1,39,,320,126,,49,,,,
S600A16ZN100,"Muriel 600-62f18 Z tpm 700 st. 4,0",Muriel 600/1/100,PVA 62f18,700,10000,"5,27","14,4",1 x 22 h  (22),1,22,,,140,,57,,,,
