Cliente,n. ordine interno,codarticolo,descrizione,quantità,data di consegna,Mc No.,data fermata prevista,data inserimento produzione,n. levate,nr fusi effettivi,fine produzione,kg prodotti,evaso
SCORTA,1831,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)","1.200,0",,61,,30/05/2024,6,,14/08/2024,"1.236,6900",Vero
SCORTA,187,X21-20099DN2,"Ly200/22f10 DC tpm 1500 st. 4,6 (EG)","420,0",,38,,11/06/2024,3,,29/06/2024,"417,2850",Vero
FALKE,186,ManilaZN1,"K22/11f5 Z tpm 2500 st. 2,6 (CG)","120,0",,14,,31/05/2024,1,,23/06/2024,"126,1550",Vero
SANYLEG,188,33002DN,"Ly330/22f7 dc tpm 1200 st. 4,8 (EI)","414,0",,41,19/11/2024,24/06/2024,2,,05/07/2024,"416,1600",Vero
SCORTA,189,62001DN1,"Ro620/44f34 dc tpm 800 st. 5,2 (FC)","245,0",,,,,,,,,Vero
ALPIN CORAP,191,23505DN2,"Ly235/78f24x2 dc tpm 780 st. 4,15 (EBF)","10,0",,C2,,11/06/2024,1,12,13/06/2024,"10,6136",Vero
ALLERGO SYSTEM,192,4462ZN2,"Cr44/78f68 nero Z tpm 1000 st. 3,2 (DC)","33,0",,,,,,,,,Vero
SANYLEG,194,4450ZN,"Cr44/60f60 Z tpm 900 st. 3,4 (DE)","912,0",,71,06/11/2024,20/06/2024,4,,14/07/2024,"915,7088",Vero
SCORTA,195,2246ZN 13500,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)","660,0",,44,11/10/2024,24/06/2024,3,,03/07/2024,"657,1200",Vero
GIZETA,185,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)","1.128,0",,43,29/09/2024,25/06/2024,3,,09/07/2024,"564,300",Vero
,,,,,,31,,27/06/2024,3,,11/07/2024,"564,300",
ATHENA,196,X22-7810S-ZN354,"Ly78/50f42 S+Z tpm 110 st.3,5 (EC)","250,0",,22,30/10/2024,24/06/2024,2,,08/07/2024,"478,500",Vero
DIAMANT,197,39501DN,"Ly395/44f34 dc tpm 1000 st. 4,8 (EI)","100,0",,,,,,,,,Vero
SANYLEG,193,2274ZN,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)","2.000,0",01/07/2024,70,05/12/2024,18/06/2024,10,,18/07/2024,"2.075,700",Vero
FEIN ELAST GRABHER,198,10353ZF,"Ly 78/44f13 Z tpm 1100 st. 2,6 (CG)","170,0",,22,30/10/2024,19/06/2024,1,,23/06/2024,"179,5200",Vero
INNOVAKNIT,199,S18-200014DN,"Mu2000/62f18 DC tpm 700 st. 3,6 (DG)","10,0",,,,,,,,,Vero
MICHELE LETIZIA,200,X24-7802S+ZN,Cr 78-44f72 S+Z tpm 900 st. 3.4 (DE),"584,0",,60,,27/06/2024,4,,13/07/2024,"616,5225",Vero
FISHER & PAYKEL,201,X21-39599V7DN0333,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Grey","190,0",,37,01/10/2024,16/07/2024,1,,17/07/2024,"215,2296",Vero
FISHER & PAYKEL,202,X21-39599V7DN0332,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Blu","190,0",,37,01/10/2024,16/07/2024,1,,17/07/2024,"215,2296",Vero
FGP,203,X24-15601S+ZF colora,"Cr 156/44f40 S+Z tpm 900 st. 3,3 (DD)","50,0",,C3,,20/06/2024,4,12,14/07/2024,"57,7800",Vero
SANYLEG,205,X24-2213ZN2,"Cr22/78f70 Z tpm 1000 st.3,2 (DC)","100,0",,60,,25/06/2024,1,,27/06/2024,"102,4650",Vero
MAXIS,206,1731DN,"K17/22f20 DC tpm 1600 st. 2,8 (CI)","400,0",,68,,24/06/2024,4,,29/07/2024,"406,6528",Vero
SANYLEG,178,4450ZN,"Cr44/60f60 Z tpm 900 st. 3,4 (DE)","150,0",,,,,,,,,Vero
MANIFATTURA ITALIA CUCIRINI,207,4428ZN/F,"Cr44/44f13 Z tpm 1000 st. 3,6 (DG)","280,0",08/07/2024,14,,01/07/2024,2,,09/07/2024,"282,7200",Vero
ATHENA,208,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)","660,0",15/07/2024,,,,,,,,Vero
FALKE,204,X23-3398V2S+ZN,"Cr 33/44f34 riciclato S+Z tpm 1200 st. 2,8","10,0",,C3,,08/07/2024,1,22,13/07/2024,"10,7585",Vero
PIEFFE SPORT,209,S18-200014DN,"Mu2000/62f18 DC tpm 700 st. 3,6 (DG)","24,0",,C2,,28/06/2024,1,,29/06/2024,"16,3900",Vero
CALZIFICIO TREVER,210,X23-13097V5ZF,"Cr 130/33f20 par Z tpm 900 st. 4,2 (EC)","180,0",,29,03/10/2024,28/06/2024,1,,02/07/2024,"180,4200",Vero
CALZIFICIO TREVER,210,X23-13097V5ZF,"Cr 130/33f20 par Z tpm 900 st. 4,2 (EC)","180,0",,,,,,,,,Vero
MANIFATTURA ITALIA CUCIRINI,211,X21-2278V4DN,"K 22-11f8 dc tpm 2100 st. 2,5 (CF)","200,0",,67,11/11/2024,03/07/2024,2,,06/08/2024,"200,9700",Vero
SANYLEG,213,X24-4401ZF,"Ly 44/50f42x2 S+Z tmp 600 st. 3,2","248,0",,72,21/11/2024,10/07/2024,3,,16/07/2024,"463,5984",Vero
APPLE,221,S18-60042V2DN,Muriel 600/62f18 dc tpm 700 st. 4 (EA),"130,0",,69,18/10/2024,13/07/2024,2,,15/07/2024,"155,6363",Vero
SANYLEG,219,X23-4496V2ZN2,"Ly44/78f70 Z tpm 1000 st. 3,7 (DH)","440,0",15/09/2024,72,21/11/2024,17/07/2024,2,,27/07/2024,"448,8413",Vero
SANYLEG,218,20099ZF,"Ly 200/33f20 Z tpm 900 st. 4,5 (EF)","440,0",15/09/2024,23,,09/07/2024,2,,19/07/2024,"442,6800",Vero
HEXONIA GMBH,215,S18-200017DN2,"Mu2000+62f18/62f18 DC tpm 800 st. 1,8 (BI)","30,0",,37,01/10/2024,12/07/2024,1,,12/07/2024,"28,6800",Vero
MANIFATTURA ITALIA CUCIRINI,223,7005ZF,"Ly78/44F13 Z TPM 900 st. 4,2 (EC)","340,0",24/07/2024,22,30/10/2024,15/07/2024,2,,23/07/2024,"325,2400",Vero
FGP,203,X24-15601ZF,"Cr 156/44f40 S+Z tpm 900 st. 3,3 (DD)","50,0",,,,,,,,,Vero
SANYLEG,205,X24-2213ZN2,"Cr22/78f70 Z tpm 1000 st.3,2 (DC)","100,0",,,,,,,,,Vero
CALZIFICIO TREVER,210,X23-13097V5ZF,"Cr 130/33f20 par Z tpm 900 st. 4,2 (EC)","180,0",,,,,,,,,Vero
DIAMANT,212,X24-39501V2DN-W73,"Ly 395-230 airmax dc  tpm 780 st. 3,95","10,0",,,,,,,,,Vero
MARYGOLD,216,2223DN mini,"Cr22/8f5 dc tpm 2000 st. 3,2 (DC)","113,0",,6,24/10/2024,15/07/2024,1,,03/08/2024,"81,7200",Vero
DIAMANT,217,X24-39501V2DN-W73,"Ly 395-230 airmax dc  tpm 780 st. 3,95","10,0",,C2,,12/07/2024,1,,12/07/2024,"12,4200",Vero
SCORTA,224,7035DN1,"Ly 78/13f5 dc tpm 2100 stiro 3,2 (DC)","480,0",,67,11/11/2024,22/07/2024,3,,10/09/2024,"485,0381",Vero
SCORTA,225,15613DN1,"Ly 156/13f5 dc tpm 2000 stiro 3,7 (DH)","472,0",,69,18/10/2024,19/07/2024,2,,24/08/2024,"468,9506",Vero
SCORTA,226,S18-200014DN,"Mu2000/62f18 DC tpm 700 st. 3,6 (DG)","27,0",,37,01/10/2024,17/07/2024,1,56,18/07/2024,"28,6825",Vero
DIAMANT,227,X24-39501V2DN-W73,"Ly 395-230 airmax dc  tpm 780 st. 3,95","36,0",,37,01/10/2024,16/07/2024,1,100,16/07/2024,"38,8125",Vero
MEDI,238,X23-4489DN,"roica 44/44f13x2/56f34x2 dc tpm 500 st. 2,8 (CI)","6.000,0",,,,,,,,,Vero
MANIFATTURA ITALIA CUCIRINI,228,X22-2211ZF1,"Ro 22/78f24 Z tpm 450 st. 3,2 (DC)","200,0",,71,06/11/2024,19/07/2024,1,,21/07/2024,"206,6006",Vero
MANIFATTURA ITALIA CUCIRINI,229,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)","534,0",28/08/2024,71,06/11/2024,19/07/2024,3,,25/07/2024,"555,4519",Vero
FISHER & PAYKEL,230,X21-39599V7DN0332,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Blu","190,0",,,,,,,,,Vero
FISHER & PAYKEL,231,X21-39599V7DN0333,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Grey","190,0",,,,,,,,,Vero
FEIN ELAST GRABHER,235,10985ZF spole 880 gr,"Ly44/78f68 Z tpm 1000 st. 3,3 (DD)","804,0",,60,,19/07/2024,3,,05/08/2024,"804,1584",Vero
APPLE,239,S600A16ZN100,"Muriel 600-62f18 Z tpm 700 st. 4,0","130,0",,,,,,,,,Vero
FALKE,240,X24-1301V2S+ZN mini,"Ly 13/11f8 S+Z tpm 2400 st. 2,9 (CL)","10,0",,C3,,23/07/2024,1,32,12/08/2024,"13,0900",Vero
DIAMANT,241,39502DN2,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","10,0",,,,,,,,,Vero
FRITSCHE,244,S21-60090DN100,"Mu600/70/1 Nomex DC tpm 1100 st. 4,4 (EE)","256,0",,37,01/10/2024,26/08/2024,2,,29/08/2024,"262,300",Vero
ALPIN CORAP,246,23505DN2,"Ly235/78f24x2 dc tpm 780 st. 4,15 (EBF)","50,0",,40,10/10/2024,26/08/2024,1,56,28/08/2024,"49,5303",Vero
CALZIFICIO TREVER,247,4464ZN,"K44/13f10 Z tpm 1800 st. 2,8 (CI)","65,0",,28,10/10/2024,26/08/2024,1,128,05/09/2024,"64,6650",Vero
APPLE,248,S18-60042V4DN,Muriel 600/62f18 dc tpm 700 st. 4 (EA),"26,0",,,,,,,,,Vero
CALZIFICIO GENNY,249,X22-2203S+ZN,Cr22/78f68 ecocare S+Z tpm 600 st- 3.2 (DC),"426,0",15/09/2024,35,18/10/2024,02/09/2024,2,,08/09/2024,"426,300",Vero
ALLERGO SYSTEM,250,4462ZN2,"Cr44/78f68 nero Z tpm 1000 st. 3,2 (DC)","110,0",15/09/2024,14,,02/09/2024,1,,05/09/2024,"140,3900",Vero
MICHELE LETIZIA,251,X24-7802S+ZN,Cr 78-44f72 S+Z tpm 900 st. 3.4 (DE),"300,0",15/09/2024,59,05/10/2024,03/09/2024,2,,11/09/2024,"308,2613",Vero
MANIFATTURA ITALIA CUCIRINI,252,X24-2212ZF,"Cr 22/44f12 grs tpm 800 st 3,2 (DC)","220,0",20/09/2024,71,06/11/2024,03/09/2024,2,,09/09/2024,"231,00",Vero
APPLE,248,S18-60042V4DN,Muriel 600/62f18 dc tpm 700 st. 4 (EA),"26,0",,,,,,,,,Vero
SCORTA,256,S18-160040DN,"Mu1600/62f18 solvron dc tpm 700 st. 3,6 (DG)","5,0",20/09/2024,,,,,,,,Vero
SCORTA,258,2246ZN 10800,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)","1.250,0",,44,11/10/2024,12/09/2024,6,,06/10/2024,"1.328,0400",Vero
SCORTA,257,4412S+ZN,"Ly 44/13f7 S+Z tpm 1700 st. 3,8 (DI)","280,0",,18,06/10/2024,09/09/2024,2,,04/10/2024,"295,200",Vero
SCORTA,264,1730S+ZN mini,"K17/11f16 S+Z tpm 2150 st.2,8 (CI)","176,0",,34,27/09/2024,14/09/2024,1,448,27/09/2024,"154,9800",Vero
MICHELE LETIZIA,267,X24-7802S+ZN,Cr 78-44f72 S+Z tpm 900 st. 3.4 (DE),"600,0",,59,05/10/2024,18/09/2024,4,,04/10/2024,"616,5225",Vero
CALZIFICIO CREMONA,269,X20-2222DN2,"KLC22 nero/11f7 recy nero dc tpm 2000 st. 2,9 (CL)","5,0",,C4,07/10/2024,19/09/2024,1,14,07/10/2024,"5,8516",Vero
FEIN ELAST GRABHER,270,10985ZF spole 880 gr,"Ly44/78f68 Z tpm 1000 st. 3,3 (DD)","804,0",,,,,,,,,Vero
DIAMANT,273,X24-39501V2DN-W73,"Ly 395-230 airmax dc  tpm 780 st. 3,95","10,0",,,,,,,,,Vero
