N° MC,,,,cod articolo,descrizione,N° fusi reali,velocita fusi inferiori,data ora partenza,data ora fine,data ora fine manuale,ore lavorate dalla partenza,KWh assorbiti,KW medi,produzione [kg],KWh/Kg,€/Kg,note,N° scheda
-,Anno Inizio : 2024,,,,,,,,,,,,,,,,,
,-,Mese Inizio : 4,,,,,,,,,,,,,,,,
,,+,46,2279ZNB10A 13200,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),256,13554,19/06/2024 11:06:40,22/06/2024 11:01:13,,"71,8700","1172,2100","16,3101","194,1900","6,0400","1,3300",,24/74305-F3
,,+,47,2271DN 20000 mini,"K22/8f5 dc tpm 3000 st. 2,8 CI",448,20311,04/06/2024 10:08:00,02/07/2024 14:03:44,,"613,2300","8609,8300","14,0401","269,1900","31,9800","7,0400",FERMATA A TEMPO 613H           PROVA CONSUMI                       PARTIRE CON SPOLE FADIS3,24/71601-F3
,,+,48,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,20950,22/06/2024 05:58:50,17/07/2024 03:06:29,,"597,0700","8881,9200","14,8758","150,6900","58,9400","12,9700",,24/68501-F1
,,+,49,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",,20200,03/06/2024 10:00:00,21/06/2024 09:00:00,,,,,"32,4500",,,"spole rimangono grosse, fermare la mc il giorno indicato",
,,+,49,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",,20200,19/06/2024 10:00:00,07/07/2024 09:00:00,,,,,"4,2300",,,"spole rimangono grosse, fermare la mc il giorno indicato",
,,+,49,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",,20200,19/06/2024 10:00:00,07/07/2024 09:00:00,,,,,"38,1500",,,"spole rimangono grosse, fermare la mc il giorno indicato",
,,+,50,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",,20200,04/06/2024 10:00:00,22/06/2024 09:00:00,,,,,"34,1700",,,"spole rimangono grosse, fermare la mc il giorno indicato",
,,+,50,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",,20200,19/06/2024 10:00:00,07/07/2024 09:00:00,,,,,"4,2700",,,"spole rimangono grosse, fermare la mc il giorno indicato",
,,+,50,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",,20200,22/06/2024 10:00:00,10/07/2024 09:00:00,,,,,"36,0600",,,"spole rimangono grosse, fermare la mc il giorno indicato",
,,+,51,X24-2202S+Z colorati,"Cr 22/44f40 S+Z tpm 900 st. 3,2 (DC)",264,17981,06/06/2024 11:16:48,09/06/2024 09:35:32,,"70,2700","942,7600","13,4163","111,400","8,4600","1,8600",,24/71501/01+24/71502/01-F3
,,+,51,X24-2202S+Z colorati,"Cr 22/44f40 S+Z tpm 900 st. 3,2 (DC)",264,17981,10/06/2024 15:56:27,13/06/2024 14:05:33,,"69,9800","838,5800","11,9831","110,9500","7,5600","1,6600",,
,,+,51,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",220,13686,14/06/2024 11:05:00,19/06/2024 07:01:34,,"115,9300","1534,200","13,2338","182,4900","8,4100","1,8500",,24/70101-F2
,,+,51,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,19/06/2024 12:56:07,24/06/2024 06:45:47,,"113,800","1557,2700","13,6843","214,9500","7,2400","1,5900",,24/71102-F2
,,+,51,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,25/06/2024 09:16:39,30/06/2024 07:47:35,,"118,4200","1539,3900","12,9994","223,6700","6,8800","1,5100",,24/70102-F2
,,+,52,4424ZN,"Ly44/44f34 Z tpm 1000 st. 3,8 (DI)",264,13197,04/06/2024 13:14:01,12/06/2024 08:06:12,,"186,7800","2334,1900","12,4970","223,200","10,4600","2,300","ALTERNARE S+ZN E ZN non girare le flange.   n° ord. zn 177 4 levate,    n° ord s+z 176 6 levate",23/58505-F2
,,+,52,4424S+ZN/F,"Ly44/44f34 S+Z tpm 1000 st. 3,8 (DI)",264,13197,12/06/2024 11:08:16,19/06/2024 23:43:18,,"180,5700","2302,4100","12,7508","215,7700","10,6700","2,3500","ALTERNARE S+ZN E ZN non girare le flange.   n° ord. zn 177 4 levate,    n° ord s+z 176 6 levate",24/73101-F2
,,+,52,4424S+ZN/F,"Ly44/44f34 S+Z tpm 1000 st. 3,8 (DI)",264,13197,20/06/2024 09:26:13,28/06/2024 06:49:40,,"189,3300","2358,9700","12,4596","226,2400","10,4300","2,2900","ALTERNARE S+ZN E ZN non girare le flange.   n° ord. zn 177 4 levate,    n° ord s+z 176 6 levate",24/73202-F2
,,+,52,4424S+ZN/F,"Ly44/44f34 S+Z tpm 1000 st. 3,8 (DI)",264,13197,29/06/2024 12:42:21,07/07/2024 19:01:23,,"191,0200","2160,00","11,3077","228,2500","9,4600","2,0800","ALTERNARE S+ZN E ZN non girare le flange.   n° ord. zn 177 4 levate,    n° ord s+z 176 6 levate",24/73102-F1
,,+,53,2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)",264,12981,03/06/2024 09:10:01,09/06/2024 06:13:12,,"140,9500","1569,7900","11,1372","223,3700","7,0300","1,5500",,24/75702-F3
,,+,53,2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)",264,12981,10/06/2024 09:55:49,16/06/2024 05:26:29,,"139,3800","1553,700","11,1472","220,8900","7,0400","1,5500",,24/75803-F3
,,+,53,2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)",264,12981,17/06/2024 14:52:19,23/06/2024 12:49:18,,"141,8800","1571,0200","11,0729","224,8500","6,9900","1,5400",,24/69401-F3
,,+,53,2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)",264,12981,24/06/2024 10:54:25,30/06/2024 11:54:38,,"144,9700","1607,7200","11,0900","229,7400","7,00","1,5400",,24/75703+24/68901-F3
,,+,54,2013S+ZN mini,"Ly 20/13f10 S+Z  tpm 1400 st. 2,9 (CL)",264,18489,11/06/2024 10:27:14,21/06/2024 09:25:22,,"238,9500","2094,0900","8,7637","100,600","20,8100","4,5800",,24/70701-F1
,,+,54,2013S+ZN mini,"Ly 20/13f10 S+Z  tpm 1400 st. 2,9 (CL)",264,18489,21/06/2024 11:12:43,30/06/2024 17:09:03,,"221,9500","1742,7400","7,8519","93,4400","18,6500","4,100",,
,,+,57,4465SN1,"Ro44/16f10 S tpm 1250 st. 2,9 (CL)",264,17500,07/06/2024 12:20:28,16/06/2024 10:28:55,,"214,0800","2563,8700","11,9762","144,7200","17,7200","3,900",IMPOSTATO IL TEMPO 214H quando finisce in movimento togliere il tempo,24/77002-F3
,,+,57,4465SN1,"Ro44/16f10 S tpm 1250 st. 2,9 (CL)",264,17500,24/06/2024 12:45:08,03/07/2024 12:19:15,,"215,500","2682,9100","12,4497","145,6700","18,4200","4,0500",IMPOSTATO IL TEMPO 214H quando finisce in movimento togliere il tempo,24/77103-F1
,,+,58,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,07/06/2024 13:33:10,11/06/2024 12:28:42,,"94,8500","1119,3700","11,8015","179,1600","6,2500","1,3700",FARE 6 CICLI DA 4 GG PER PESO SPOLA SBAGLIATA,24/71201-F2
,,+,58,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,11/06/2024 15:56:25,15/06/2024 17:53:05,,"97,8200","1172,0600","11,9818","184,7600","6,3400","1,400",FARE 6 CICLI DA 4 GG PER PESO SPOLA SBAGLIATA,24/71001-F2
,,+,58,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,18/06/2024 07:57:17,23/06/2024 07:35:15,,"119,5300","1542,7100","12,9065","225,7800","6,8300","1,500",,24/69701-F2
,,+,58,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,27/06/2024 13:43:15,02/07/2024 10:18:37,,"116,4700","1477,9700","12,6897","219,9900","6,7200","1,4800",,24/70002-F2
,,+,59,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,04/06/2024 15:15:00,09/06/2024 16:31:40,,"121,1500","1544,9300","12,7522","228,8400","6,7500","1,4900","
",24/76302-F2
,,+,59,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,10/06/2024 10:21:35,15/06/2024 08:32:09,,"118,100","1558,400","13,1956","223,0700","6,9800","1,5400","
",24/71101-F1
,,+,59,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,15/06/2024 12:14:49,20/06/2024 11:43:51,,"119,4300","1630,1400","13,6493","225,5900","7,2300","1,5900","
",24/70001-F2
,,+,59,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,21/06/2024 12:30:40,26/06/2024 11:04:18,,"118,4300","1584,4800","13,3790","223,700","7,0800","1,5600","
",24/71002-F2
,,+,59,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,29/06/2024 09:32:01,04/07/2024 06:16:13,,"116,6700","1546,1400","13,2522","220,3700","7,0200","1,5400","
",24/71103-F2
,,+,60,2250s+z minispole,,264,18398,05/06/2024 11:24:37,19/06/2024 01:14:42,,"325,6800","3204,3100","9,8388",,,,2250s+z minispole,
,,+,60,X24-2213ZN2,"Cr22/78f70 Z tpm 1000 st.3,2 (DC)",264,15481,26/06/2024 12:30:05,28/06/2024 16:11:29,28/06/2024 17:00:00,"51,6200","627,1300","12,1490","109,0900","5,7500","1,2600",,24/67801-F3
,,+,61,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)",,21000,13/06/2024 10:00:00,26/6/2024,,,,,"204,0400",,,,
,,+,61,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)",,21000,27/06/2024 10:00:00,10/7/2024,11/07/2024 10:00:00,,,,"203,4800",,,FERMA X GUASTO QUANDO RIPARTE VA 3GG,
,,+,62,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20700,25/06/2024 10:00:00,20/07/2024 02:00:00,,,,,"162,4900",,,,
,,+,63,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20700,13/06/2024 10:00:00,08/07/2024 02:00:00,09/07/2024 10:00:00,,,,"156,2700",,,,
,,+,64,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20700,05/06/2024 10:00:00,30/06/2024 02:00:00,,,,,"156,0700",,,,
,,+,65,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20700,13/06/2024 10:00:00,08/07/2024 02:00:00,,,,,"150,3300",,,fatto stacca attacca x guasto rinvio,
,,+,66,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,21127,07/06/2024 10:49:43,04/07/2024 23:28:43,,"577,00","8644,0500","14,9810","146,8600","58,8600","12,9500",,24/99303-O7+M6
,,+,67,X24-4403DN,"Ly 44-11f5 dc tpm 1900 st. 3,5 (DF)",264,20800,07/06/2024 06:48:02,12/06/2024 15:20:03,,"128,4300","1155,900","9,0002","36,4900","31,6800","6,9700",,24/71301-F3
,,+,67,x24-4403dn mini,,264,20800,12/06/2024 16:07:03,22/06/2024 13:20:02,,"237,1500","1743,0500","7,3500",,,,x24-4403dn mini,
,,+,67,X21-2278V4DN,"K 22-11f8 dc tpm 2100 st. 2,5 (CF)",264,20500,27/06/2024 14:07:03,19/07/2024 15:05:02,,"386,5500","2261,3200","5,8500","90,8900","24,8800","5,4700",41 bobine finiscono ,24/87402-F1
,,+,68,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",264,14000,06/06/2024 09:09:02,11/06/2024 12:35:03,,"123,3800","721,7900","5,8501","108,7900","6,6400","1,4600",,24/82005-F2
,,+,68,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",264,14000,11/06/2024 14:01:03,16/06/2024 16:15:03,,"122,200","696,5400","5,700","107,7500","6,4700","1,4200",,24/81905-F2
,,+,69,X22-2005V2ZN1,"Ly 20/22f7x2 Z tpm 900 st. 2,9 (CL)",72,14000,06/06/2024 13:50:02,08/06/2024 23:40:04,,"56,4200","67,700","1,1999","19,7800","3,4400","0,7600","mc in doppia usata in singola solo piano inf. ""sulla mc ci sono fusi x mini e dm. 76",24/70901-F3
,,+,69,S19-60064V3DN-U427,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",84,14000,12/06/2024 10:59:03,12/06/2024 20:25:04,,"9,4200","11,300","1,1996","13,800","0,800","0,1800","mc in doppia usata in singola solo piano inf. ""sulla mc ci sono fusi x mini e dm. 76",24/70601-F3
,,+,69,S19-60064V3DN-U427,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",264,14000,13/06/2024 09:22:03,13/06/2024 17:55:03,,"8,5500","10,2600","1,200","39,3700","0,2500","0,0600","mc in doppia usata in singola solo piano inf. ""sulla mc ci sono fusi x mini e dm. 76",
,,+,69,S19-60064V3DN-U427,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",264,14000,14/06/2024 12:31:03,14/06/2024 18:45:03,,"6,1700","7,400","1,1994","28,3900","0,2500","0,0500","mc in doppia usata in singola solo piano inf. ""sulla mc ci sono fusi x mini e dm. 76",
,,+,69,S19-60064V3DN-U427,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",264,14000,17/06/2024 10:40:03,17/06/2024 20:55:03,,"10,1800","12,2200","1,2004","46,8900","0,2600","0,0600","mc in doppia usata in singola solo piano inf. ""sulla mc ci sono fusi x mini e dm. 76",24/70601/01-F2
,,+,69,S19-60064V3DN-U427,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",264,14000,18/06/2024 13:28:03,19/06/2024 02:05:03,,"12,5800","15,100","1,2003","57,9400","0,2600","0,0600","mc in doppia usata in singola solo piano inf. ""sulla mc ci sono fusi x mini e dm. 76",
,,+,69,S19-60064V3DN-U427,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",264,14000,19/06/2024 14:31:02,19/06/2024 22:05:02,,"7,5500","9,0600","1,200","34,7600","0,2600","0,0600",,
,,+,69,S19-60064V3DN-U427,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",264,14000,20/06/2024 10:33:02,21/06/2024 02:00:02,,"15,4300","18,5200","1,2003","71,0600","0,2700","0,0600",,
,,+,69,S19-60064V3DN-U427,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",264,14000,21/06/2024 13:15:02,21/06/2024 19:20:02,,"6,0300","7,2400","1,2007","27,7800","0,2500","0,0600",,
,,+,69,S19-60064V3DN-U427,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",264,14000,24/06/2024 12:31:03,25/06/2024 06:55:03,,"18,3300","22,00","1,2002","84,4200","0,2600","0,0600",,24/70603-F1
,,+,69,S19-60064V3DN-U427,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",264,14000,25/06/2024 11:32:03,25/06/2024 19:45:03,,"7,9300","9,5200","1,2005","36,5300","0,2700","0,0600",,
,,+,69,S19-60064V3DN-U427,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",264,14000,26/06/2024 09:16:03,26/06/2024 16:40:03,,"7,3300","8,800","1,2005","33,7700","0,2700","0,0600",,
,,+,69,S19-60064V3DN-U427,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",264,14000,27/06/2024 08:23:03,27/06/2024 17:35:03,,"8,8200","10,5800","1,1995","40,600","0,2700","0,0600",,
,,+,69,S19-60064V3DN-U427,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)",264,14000,28/06/2024 09:30:03,28/06/2024 17:45:03,,"8,200","9,8400","1,200","37,7600","0,2600","0,0600",,
,,+,70,X23-7899ZN,"Cr 78/44f34 Z tpm 600 st.3,2 (DC)",264,12500,03/06/2024 11:09:03,07/06/2024 14:40:03,,"99,500","850,7300","8,5501","235,900","3,6100","0,7900",1 levata sbagliata messo creora 78 H350 anziche H350A,24/81005-F2
,,+,70,X23-7899ZN,"Cr 78/44f34 Z tpm 600 st.3,2 (DC)",264,12500,08/06/2024 05:57:03,11/06/2024 18:35:03,,"84,5500","748,2700","8,8500","200,4500","3,7300","0,8200",1 levata sbagliata messo creora 78 H350 anziche H350A,24/81106-F2
,,+,70,2274ZN2,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)",264,13000,13/06/2024 09:24:03,21/06/2024 07:15:02,,"68,6300","308,8500","4,5002","199,0300","1,5500","0,3400",,24/69301-F3
,,+,70,2274ZN2,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)",264,13000,21/06/2024 13:02:02,24/06/2024 09:30:03,,"67,9800","683,2300","10,0505","197,1400","3,4600","0,7600",,24/68701+02+24/69301-F3
,,+,70,2274ZN2,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)",264,13000,27/06/2024 16:07:03,30/06/2024 12:25:02,,"68,2500","685,9100","10,0500","197,9200","3,4700","0,7600",,24/69303+24/67402+24/67401-F3
,,+,71,1724s+z,,264,12300,09/06/2024 19:20:03,19/06/2024 03:25:03,,"224,0300","2251,5300","10,0501",,,,1724s+z,
,,+,71,4450ZN,"Cr44/60f60 Z tpm 900 st. 3,4 (DE)",264,12300,20/06/2024 11:37:02,23/06/2024 14:05:02,23/06/2024 10:00:00,"74,4500","815,2300","10,9500","115,2400","7,0700","1,5600",,
,,+,71,4450ZN,"Cr44/60f60 Z tpm 900 st. 3,4 (DE)",264,12300,23/06/2024 16:01:03,26/06/2024 07:20:03,26/06/2024 10:00:00,"63,3200","465,3800","7,3497","98,0100","4,7400","1,0400",,LEVATA
,,+,71,4450ZN,"Cr44/60f60 Z tpm 900 st. 3,4 (DE)",264,12300,26/06/2024 12:31:03,28/06/2024 20:15:04,28/06/2024 10:00:00,"55,700","643,3400","11,5501","86,2200","7,4600","1,6400",,24/67901-F3
,,+,71,4450ZN,"Cr44/60f60 Z tpm 900 st. 3,4 (DE)",264,12300,29/06/2024 12:08:03,02/07/2024 21:30:02,03/07/2024 10:00:00,"81,300","646,3400","7,9501","125,8400","5,1300","1,1300",,
,,+,72,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",256,11300,04/06/2024 11:43:02,06/06/2024 11:20:03,,"47,5700","392,4300","8,2495","172,6200","2,2700","0,500","FERMATA TASSATIVA
FILO X TINTORIA",
,,+,72,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",256,11300,07/06/2024 10:29:03,09/06/2024 09:45:03,,"47,200","396,4800","8,400","171,2900","2,3100","0,5100","FERMATA TASSATIVA
FILO X TINTORIA",24/73903-F2
,,+,72,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",256,11300,11/06/2024 15:36:03,13/06/2024 14:45:04,,"47,1300","395,9200","8,4006","171,0500","2,3200","0,5100","FERMATA TASSATIVA
FILO X TINTORIA",24/73803-F2
,,+,72,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",256,11300,13/06/2024 16:12:03,15/06/2024 15:20:03,,"47,1200","402,8500","8,5494","170,9900","2,3600","0,5200","FERMATA TASSATIVA
FILO X TINTORIA",24/73904-F2
,,+,72,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",256,11300,17/06/2024 10:59:03,19/06/2024 10:25:02,,"47,3700","397,8800","8,3994","171,8900","2,3200","0,5100","FERMATA TASSATIVA
FILO X TINTORIA",24/73804-F2
,,+,72,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",256,11300,21/06/2024 14:00:03,23/06/2024 13:05:02,,"47,0800","395,500","8,4006","170,8700","2,3200","0,5100","FERMATA TASSATIVA
FILO X TINTORIA",24/73805-F2
,,+,72,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",264,11300,26/06/2024 15:01:03,28/06/2024 14:05:03,,"47,0500","395,2200","8,400","176,0800","2,2400","0,4900","FERMATA TASSATIVA
FILO X TINTORIA",
,,+,72,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",264,11300,29/06/2024 13:01:03,01/07/2024 12:30:02,,"47,4800","398,8600","8,4006","177,700","2,2500","0,4900","FERMATA TASSATIVA
FILO X TINTORIA",24/73906-F2
,,+,74,23505DN2,"Ly235/78f24x2 dc tpm 780 st. 4,15 (EBF)",,11250,11/06/2024 09:30:00,13/06/2024 05:30:00,,,,,"31,7200",,,"
",
,,+,74,S18-200014DN,"Mu2000/62f18 DC tpm 700 st. 3,6 (DG)",28,8200,19/06/2024 10:00:00,20/06/2024 08:00:00,,,,,"31,5200",,,"
",
,,+,74,S18-200014DN,"Mu2000/62f18 DC tpm 700 st. 3,6 (DG)",,8200,28/06/2024 10:00:00,29/06/2024 08:00:00,,,,,"51,8400",,,"
",
,,+,75,X24-15601S+ZF colora,"Cr 156/44f40 S+Z tpm 900 st. 3,3 (DD)",,13500,21/06/2024 10:00:00,27/06/2024 10:00:00,24/06/2024 10:00:00,,,,"25,0200",,,gr. spola 370 ciclo 3gg,
,,+,75,X24-15601S+Z,"Cr 156/44f40 S+Z tpm 900 st. 3,3 (DD)",,16800,25/06/2024 10:00:00,28/06/2024 09:00:00,,,,,"23,6100",,,,
,,+,75,X24-15601S+Z,"Cr 156/44f40 S+Z tpm 900 st. 3,3 (DD)",,16800,28/06/2024 10:00:00,01/07/2024 09:00:00,,,,,"23,1400",,,,
